country,cases,deaths,recovered,active,critical,population,casesPerOneMillion,deathsPerOneMillion,taux_mortalite,taux_guerison
Afghanistan,234174,7996,211080,15098,0,40754388,5746,196,3.414554989025255,90.13810243664967
Albania,334863,3605,330233,1025,0,2866374,116825,1258,1.0765596676849936,98.61734500377767
Algeria,272010,6881,183061,82068,0,45350148,5998,152,2.5296864085879194,67.2993639939708
Andorra,48015,165,0,47850,0,77463,619844,2130,0.3436426116838488,0.0
Angola,107327,1937,103419,1971,0,35027343,3064,55,1.804764877430656,96.358791357254
Anguilla,3904,12,0,3892,0,15230,256336,788,0.3073770491803279,0.0
Antigua and Barbuda,9106,146,8954,6,0,99509,91509,1467,1.6033384581594552,98.33077092027234
Argentina,10128845,130841,9997258,746,0,46010234,220143,2844,1.2917662379076786,98.70086865777886
Armenia,451831,8777,435162,7892,0,2971966,152031,2953,1.9425404631377663,96.31078876836693
Aruba,44224,292,42438,1494,2,107609,410969,2714,0.66027496382055,95.96146888567294
Australia,11853144,24414,11820014,8716,3,26068792,454687,937,0.20597066904780706,99.72049609791293
Austria,6081287,22542,6054934,3811,0,9066710,670727,2486,0.3706781146819744,99.56665422960633
Azerbaijan,835234,10400,824089,745,0,10300205,81089,1010,1.2451600389830875,98.66564340053206
Bahamas,38084,844,36366,874,1,400516,95087,2107,2.2161537653607817,95.4889192311732
Bahrain,729549,1574,727915,60,0,1783983,408944,882,0.2157497303128371,99.7760260105901
Bangladesh,2049377,29493,0,2019884,0,167885689,12207,176,1.4391202789921036,0.0
Barbados,110578,648,108647,1283,0,288023,383921,2250,0.5860116840601204,98.25372135506159
Belarus,994037,7118,985592,1327,0,9432800,105381,755,0.7160699249625517,99.1504340381696
Belgium,4861695,34376,4826798,521,0,11668278,416659,2946,0.7070784983426562,99.28220507456761
Belize,71409,688,0,70721,0,412190,173243,1669,0.9634639891330226,0.0
Benin,28036,163,27847,26,0,12784726,2193,13,0.5813953488372093,99.3258667427593
Bermuda,18860,165,18685,10,0,61939,304493,2664,0.8748674443266171,99.07211028632025
Bhutan,62697,21,61564,1112,0,787941,79571,27,0.03349442557060146,98.19289599183374
Bolivia,1212131,22407,1177145,12579,220,11992656,101073,1868,1.8485625728572244,97.11367830704766
Bosnia,403615,16388,379084,8143,0,3249317,124215,5044,4.060304993620158,93.92217831349183
Botswana,330638,2801,327049,788,1,2441162,135443,1147,0.8471500553475403,98.91452283161645
Brazil,38743918,711380,36249161,1783377,0,215353593,179908,3303,1.8361075408016299,93.56090677251588
British Virgin Islands,7392,64,0,7328,0,30596,241600,2092,0.8658008658008658,0.0
Brunei,343719,225,243601,99893,3,445431,771655,505,0.06546044879683695,70.87213683270346
